autor	název	originál	přečteno	originál vydáno	imglink	tagy	popis
Zdeno Kolesár	Kapitoly z dějin designu	Kapitoly z dejin designu	2006	1998	978-80-86863-28-3.jpg	art-design	Kniha čtenáře uvádí do problému dějin designu od prehistorie do současnosti. Slouží nejen pro studijní účely posluchačům vysokých škol, ale je určena také širší veřejnosti.
G. Kenneth West	Dobrodružství psychického vývoje	Greatest adventures in human development	2006	1995	80-7178-684-5.jpg	psychologie	Mytičtí hrdinové věděli o cenných pokladech, které jim život nabízel a s odvahou a inteligencí se vydávali na nebezpečné cesty, aby jich dosáhli. Dnešní život je jiný, draci a životní výzvy mají jinou podobu, ale i v moderní době člověk zůstává hrdinou v dobrodružstvích lidského vývoje. Autor se zabývá nejdůležitějšími etapami vývoje v životě člověka, přičemž na dobrodružnou cestu životem nabízí čtenáři jako 'mapy cesty' vývojové koncepty a teorie známých autorů, například R. Sternberga, E. Ericksona, J. Piageta, L. Kohlberga, D. Levinsona a dalších.
Michel Foucault	Dějiny sexuality I. - Vůle k vědění	La volonté de savoir	2006	1976	80-238-5090-3.jpg	filozofie	První část vrcholného díla francouzského filosofa a historika, které představuje analýzu sexuality jako jedinečné formy zkušenosti, která se stává předmětem vědění, vznikajícího na průsečíku medicíny, politiky, ekonomie a filozofie. Hlavním motivem první části s podtitulem Vůle k vědění je konstituce nového přístupu k sexualitě, jenž se prosadil na konci 18. století a ovládl století následující.
Donatien Alphonse François de Sade	Zoloe	Zoloe	2006	1800	978-80-7309-594-9.jpg	beletrie	Po všech stránkách je Zoloe jen slabý odvar toho, co Markýz de Sade ztvárnil ve dvou svých nejlepších dílech – 120 dnech sodomy a Juliettě. Použitý literární styl i stavba děje hovoří s největší pravděpodobností o podvrhu, ale autorství Zoloe se již asi 'nezbaví'…
Robert Fulghum	Všechno, co opravdu potřebuju znát, jsem se naučil v mateřské školce	All I Really Need to Know I Learned in Kindergarten	2006	1988	978-80-7203-935-7.jpg	beletrie	Školka je už více než patnáct let na světě. Stále vychází v dotiscích a mnoha překladech, a Fulghuma proto napadlo přečíst si to, co napsal před patnácti lety, novýma očima. Chtěl zjistit, jestli stále věří tomu, co napsal, jestli náhodou na něco nezměnil názor, a pokud ano, tak jak, v jakém smyslu a co s tím dělat. Obvykle se taková věc nedělá, autoři nemají takovou možnost. Školka je však o postoji k životu, jak se dívat na věci kolem sebe, a to se časem mění. Fulghum udělal na nové Školce nakonec víc práce, než čekal. Něco vynechal, protože to působilo zastarale, nebo prostě změnil názor na věc. Na oplátku přidal dvacet pět nových příběhů, co přinesl život, a co je dnes aktuální. Zdá se to jako hotová kniha?
Erich Fromm	Mýt nebo být	To Have or To Be?	2006	1976	80-206-0181-3.jpg	filozofie, socio-ekonomie	Frommova nemilosrdná kritika excesů tržního hospodářství, projevujících se především v převažující orientaci na mít – od majetku a moci až po druhého člověka, který nás zajímá jen potud, pokud od něho můžeme získat jmění, slávu či sexuální rozkoš. Za tuto dravou hrabivost a lačnost však lidé draze platí – úzkostí a stresy, morální a psychickou degradací, neboť člověk už není to, co je, ale co má, a jelikož nemůže mít všechno, nemůže také být úplně šťastný. Vždycky se totiž najde něco, co mu chybí, co nemá.
Milan Kundera	Směšné lásky	Směšné lásky	2006	1970	978-80-7108-352-8.jpg	beletrie	Soubor povídek, které jsou ve třech ,,sešitech', jsou vydávány v jedné knížce. Popisují muže a jejich komické zážitky s láskou a ženami.
Milan Kundera	Žert	Žert	2006	1967	22-142-69.jpg	beletrie	Žert je první román Milana Kundery napsaný roku 1965 a poprvé vydaný roku 1967 nakladatelstvím Československý spisovatel. Hlavní postavou je Ludvík Jahn, v raných padesátých letech jako student horlivý komunista, který byl kvůli žertovné pohlednici, poslané spolužačce Markétě na socialistické školení, vyhozen z vysoké školy i ze strany. Ludvík se chce po deseti letech pomstít bývalému spolužákovi Zemánkovi, který ho v rozhodující chvíli podrazil, tím, že svede Zemánkovu ženu Helenu. Zjistí ale, že Zemánkovi spolu již stejně nežijí.
Milan Kundera	Nesnesitelná lehkost bytí	Nesnesitelná lehkost bytí	2006	1984	80-7108-281-3.jpg	beletrie	Slavný román Milana Kundery vychází poprvé v České republice. s obvyklou Poznámkou autora a s doslovem Květoslava Chvatíka. Poprvé vyšel ve francouzském překladu v roce 1984 v Paříži u Gallimarda, v roce 1985 česky v Kanadě v nakladatelství Sixty-Eight Publishers. Vyprávění o lásce, o Tereze a Tomášovi, o Sabině a Franzovi, o lehkosti a tíze bytí...
Stanislav Kratochvíl	Sexuální dysfunkce	Sexuální dysfunkce	2006	2003	80-247-0203-7.jpg	psychoterapie, body	Monografie se zabývá poruchami erekce a ejakulace, frigiditou, anorgasmií a vaginismem. Autor analyzuje organické a psychogenní příčiny těchto poruch a uvádí principy jejich léčby s důkladným přehledem metod farmakoterapeutických (včetně intrakavernózních injekcí, Viagry, Cialisu a Levitry při poruchách erekce) a se speciálním zaměřením na metody psychoterapeutické. Zvláštní pozornost věnuje sexuálnímu nácviku partnerské dvojice. Uvádí poznatky ze systematické párové sexuální terapie u téměř 200 manželských dvojic s různými poruchami. Klade důraz na kognitivní, komunikační a behaviorální složku terapie, věnuje však značnou pozornost i emočním prožitkům a jejich rušivému i pozitivnímu vlivu. Nové vydání je obohaceno o nové poznatky týkající se ženské sexuální vzrušivosti a ženského orgasmu.
Jack Kerouac	Dharmový tuláci	The Dharma Bums	2006	1958	978-80-257-0061-7.jpg	beletrie	V polovině 50. let podnikl Kerouac s básníkem Garym Snyderem výstup na kalifornskou horu Matthernorn. Krom setkání s přírodou, jež ho později inspirovalo k pobytu na hoře Desolation Peak, o kterém píše v Andělech zoufalství, se tato cesta stala i setkáním s buddhismem, jež mu Snyder zprostředkoval. Protikladem této „duchovní roviny“ je líčení divokého městského života. V němž se objevuje další z Kerouacových přátel, Allen Ginsberg, a na veřejném vystoupení čte svoje Kvílení.
Martin Buber	Já a ty	Ich und du	2006	1923	80-7017-020-4.jpg	filozofie	Po dvou významných knihách (Problém člověka a Chasidská vyprávění) vychází v Kalichu další dílo tohoto vynikajícího židovského myslitele, pro pochopení Buberova myšlení klíčové. Na základě biblického svědectví dochází Buber k závratnému rozpoznání, že v každém lidském Ty se s námi setkává Ty Boží. Předmluva Jan Heller.
Jaroslav Bouček, Vladimír Pidrman	Psychofarmaka v medicíně	Psychofarmaka v medicíně	2006	2005	80-247-1136-2.jpg	body	Monografie určená pro postgraduální vzdělávání informuje lékařskou obec o současném stavu vývoje a dostupnosti psychofarmak u nás, o jejich léčebném využití v psychiatrii a v ostatních lékařských oborech. Je určena psychiatrům, klinickým psychologům, praktickým lékařům, internistům, neurologům a lékařům dalších odborností.
Jaroslav Rudiš	Bílý potok	Bílý potok	2006	2003	80-85935-42-2.jpg	beletrie	Jedno malé nádraží ve slezských horách, které křižují vlaky sem a tam a jehož návěstidla a nástupiště se občas ztrácejí v mlze skrývající podivnosti. Jeden blázinec, jehož chodby křižují lidé, pro které jsou i ta nejmenší nádraží příliš velká, ale v mlze často vidí její konec. A jeden výpravčí, který se jmenuje Alois Nebel. Příběhy ze století, o němž si myslíme, že už je dávno za námi.
Jaroslav Rudiš	Hlavní nádraží	Hlavní nádraží	2006	2004	80-85935-51-1.jpg	beletrie	Někdo chce vidět majáky na Rujáně, někdo si chce v Paříži dát dort a někdo chce vidět nejkrásnější železniční stanici u nás. Alois Nebel - výpravčí, který v mlze viděl to, co jiní neviděli, a proto výpravčím přestal být - se v pokračování Bílého Potoku vypraví do Prahy. Budovu nádraží však neopustí. Ví, že kdo jednou odejde, už se nikdy nevrátí. V knize se opět setkáme s tajemnou postavou Němého i někdejším práskačem Wachkem.
Jennifer Mackewn	Gestalt psychoterapie	Gestalt psychoterapie	2006	1997	8071789224.jpg	psychoterapie	Autorka popisuje současnou integrativní gestalt psychoterapii. Ve třiceti klíčových tématech nabízí přehled zásadních oblastí důležitých pro terapeutickou práci z pohledu tohoto psychoterapeutického směru. Psychoterapie je v tomto pojetí komplexním procesem, který vedle praktických technik klade na terapeuta v průběhu sezení požadavek být intuitivní a vědomý si vlastního prožívání. Klíčový význam tak nabývá osobní setkání s klientem ve smysluplném vztahu.
Timothy Leary	Největší hity Timothyho Learyho I	Největší hity Timothyho Learyho I	2006	1990	80-7198-120-6.jpg	duchovní, psychedelie	Sbírka nejzajímavějších myšlenek Timothyho Learyho.
Carlos Castaneda	Kolo času	The Wheel of Time	2007	1998	80-7207-256-0.jpg	beletrie, duchovní, šamanismus	Řada knih, ve kterých Carlos Castaneda popisoval své zážitky učně staré šamanské školy dona Juana Matuse, postupně zachycovala jeho rostoucí vhled do celé situace. V knize Kolo času se Carlos Castaneda ke všem svým dřívějším knihám vrací chronologicky uspořádanými citacemi, které ovšem tentokrát sjednocuje komentářem odhalujícím vnitřní jednotu zdánlivě nesouvisejících jednotlivostí.
Anthony Giddens	Sociologie	Sociology	2007	1999	978-80-257-0807-1.jpg	socio-ekonomie	Kniha významného britského sociologa a ideového otce tzv. třetí cesty - mezi klasickou levicí a neoliberalismem, Anthonyho Giddense je již řadu let nejuznávanější učebnici ve svém oboru. Jedná se o elementární učební text, ve kterém autor definuje klíčová témata a termíny oboru sociologie, jež zpracovává s vysokou odbornou erudicí, přitom však a nanejvýš čtivě a srozumitelně. Vydání vychází z posledního, podstatně přepracovaného a rozšířeného anglického vydání z roku 2008.
Andrew Stanway	Sexuální fantazie	The Joy of Sexual Fantasy	2007	1991	80-242-0164-X.jpg	body	První kniha, která ukazuje, jak erotické fantazie odhalují osobnost. Tato kniha zvýší sexuální vzrušení a uspokojení ženám, mužům i párům a umožní lépe porozumět svému pohlavnímu životu. Sexuální fantazie může být mocným afrodiziakem. Také může být úspěšnou cestou jak prohloubit intimitu vztahu. Když se lidé oddají svým fantaziím a začlení je do svého zdravého a aktivního milostného života, nejenže to zvýší jejich sexuální rozkoš, ale také jim to otevře novou a vzrušující cestu poznávání sexuality své a svého partnera.
Norbert Classen	Vědění Toltéků	Das Wissen der Tolteken	2007	1992	80-7207-517-9.jpg	duchovní, šamanismus	Kniha N. Classena představuje poprvé čtenářům spojení teorie i praxe toltéckého učení a vytváří z nich živoucí jednotu. První díl se zabývá teoretickými východisky toltécké nauky a učení dona Juana je konfrontováno s moderními myšlenkami západních humanitních věd. Ukazuje se, že toltécké poznatky jsou v mnohém podobné myšlenkám obsaženým v dílech německého filosofa Husserla, švýcarského psychologa Junga a rumunského religionisty Eliadeho. Druhá část knihy je věnována praxi toltéckého učení a neobyčejnému světu kouzelníků. Jsou zde vylíčeny různé techniky a cvičení umožňující osobní zkušenost s toltéckou praxí doplněné autorovými osobními prožitky. Claßen tedy není pozorovatelem, který stojí vně popisovaného světa, nýbrž je sám Toltékem, tedy osobou praktikující staré indiánské učení, jehož význam pro současnost nelze podceňovat.
Edward W.L. Smith	Tělo v psychoterapii	Body in psychotherapy	2007	1985	978-80-7367-144-0.jpg	psychoterapie, body	Kniha Tělo v psychoterapii, ačkoli vyšla poprvé již v roce 1985, je dodnes uznávaným dílem na poli psychoterapie zaměřené na práci s tělem. Edward Smith své dílo chápe jako integrativní, přičemž se nechal ovlivnit a čerpal z přístupů osobností jako Alexander Lowen, Stanley Keleman, Al Pesso, John Pierrakos, Virginia Satir. Ve své knize seznamuje s nejefektivnějšími aspekty bioenergetiky, gestalt psychoterapie, psychomotorické terapie, reichiánské ergonomie a mnoha dalších psychoterapeutických směrů. Popisy jednotlivých přístupů jsou podrobné a ukazují řadu praktických terapeutických technik.
Morton Hunt	Dějiny psychologie	The Story of Psychology	2007	1995	80-7367-175-1.jpg	psychologie	Velmi čtivě napsané vyprávění o historii psychologie. Autorovi se podařilo spojit novinářskou srozumitelnost s velkým množstvím informací o psychologii. Vznikl tak nezjednodušený a současně zajímavý příběh o objevování lidské duše. Jednotlivé psychologické teorie podává autor jako vyprávění o konkrétních osobách a jejich práci. Autor sleduje rozvoj psychologie i podle jejích jednotlivých disciplín. Postupně se věnuje psychologii osobnosti, vývojové a sociální psychologii, psychologii vnímání, zkoumání motivace a emocí, kognitivní psychologii a nakonec psychoterapii. V závěrečné části kniha se autor zabývá problémem zneužitelnosti psychologie. Předkládá příklady zneužití psychologie ve výchově, reklamě, soudnictví a zamýšlí se nad některými důsledky psychologického zkoumání pro dnešek.
Karen Horney	Neurotická osobnost naší doby	The Neurotic Personality of our Time	2007	1937	978-80-7367-219-5.jpg	psychologie	Renomovaná autorka se zabývá základní strukturou neurotických poruch v kontextu jejich kulturní podmíněnosti. Zamýšlí se nad tématy jako je neurotická potřeba zalíbit se, pocity viny a touha po moci, slávě a vlastnění. Karen Horney se domnívá, že základní konflikt, se kterým se setkáváme u neurotické osobnosti v dané kultuře odpovídá způsobu života, charakteristickému pro tuto kulturu. Kniha je určena zájemcům o psychologii, psychoterapii a psychoanalýzu.
Dušan Lužný	Hledání ztracené jednoty	Hledání ztracené jednoty	2007	2005	80-210-3492-0.jpg	religionistika	Publikace se soustřeďuje na některé moderní verze náboženství a enviromentalismu, tj. na vybraná nová náboženství a na některé proudy v současném enviromentálním myšlení, které z náboženství čerpají a nacházejí v něm vhodný nástroj k výkladu světa.
Hans Morschitzky, Sigrid Sator	Když duše mluví řečí těla	Wenn die Seele durch den Körper spricht	2007	2004	978-80-7367-218-8.jpg	psychoterapie, body	Populární a přitom seriózní přehled psychosomatiky zahrnuje všechny důležité orgány a jejich nejčastější psychosomatická onemocnění. Po krátkém úvodu, který se zabývá dějinami a vymezením psychosomatiky, se autoi soustřeďují na tělesné poruchy bez zjevných organických příčin (somatoformní a disociativní poruchy) a na tělesné poruchy s psychologickými faktory (psychosomatické poruchy v užším smyslu). Popisují řadu somatoformních a psychosomatických poruch podle různých orgánových oblastí – srdce, krevní tlak, dýchání, žaludek, střeva, kůže, ženské orgány, uši, krk, nos, hlas, oči, zuby, pohybové ústrojí. Součástí každé kapitoly jsou kromě kazuistické demonstrace také psychosomatické koncepty, dotýkající se jak psychologických faktorů dané oblasti, tak praktických terapeutických postupů.
Joseph Campbell	Tisíc tváří hrdiny	The Hero with a Thousand Faces	2007	1949	8071783544.jpg	historie, mytologie	Kniha Tisíc tváří hrdiny byla poprvé vydána v roce 1949, od té doby se stala klasickou studií, která zpracovává mytologéma hrdiny a jeho proměny v různých archaických tradicích. Kniha se tak dotýká i stále aktuální otázky, do jaké míry je tento mytický praobraz významný i pro moderního člověka a jak spoluutváří podobu jeho životní cesty.
Christophe Bourseiller	Carlos Castaneda - pravda lži	Carlos Castaneda - La vérité du mensonge	2007	2005	80-7207-611-6.jpg	šamanismus, biografie	Carlos Castaneda je známý především jako autor dnes již kultovních knih, za všechny jmenujme Učení dona Juana, Cesta do Ixtalnu či Umění snít. Autor se však ve své biografii pokouší nastínit a vyřešit i další problém. Podle jeho názoru jako by Carlos Castaneda chtěl něco skrývat, něco, kvůli čemu zabředá do vlastních lží. Bourseiller zde poprvé poodhaluje roušku tohoto tajemství, poprvé se snad dostává pod kůži této nesmírně záhadné osobnosti – k jejímž přátelům patřili spisovatelé Anais Nin, Irwing Wallace či hudebník Alexandro Jodorowski – často nazývané guru hippie, zatvrdilý svůdce nebo svérázný básník. Nejvíce otázek se ale vynořuje v souvislosti s jeho záhadnou smrtí v roce 1998, kterou se zkušený autor pokouší věrohodně vysvětlit.
Zygmunt Bauman	Individualizovaná společnost	The Individualized Society	2007	2001	80-204-1195-X.jpg	socio-ekonomie	Kniha patrně nejvýznamnější osobnosti současné sociologie navazuje na autorovo předchozí dílo Tekutá modernita. Bauman tematizuje problém lidské identity a proměnu pohledu na osobnost v souvislosti s pokračujícím trendem individualizace a rozšiřování privátní sféry. Tento proces by mohl ohrožovat samou podstatu moderní society a Bauman se snaží analyzovat takové jevy, jako je kontrast mezi lokálním řádem a globálním chaosem, stanovení hranic kontroly a bezpečnosti při reklamování stále větší svobody na jednotlivce, základní možnost dohody v době kultu jedinečnosti a odlišnosti.
Petru Cimpoeşu	Simion Výtažník	Simion liftnicul	2007	2001	80-86862-20-8.jpg	beletrie	Živelný vypravěč Petru Cimpoeşu vnáší svým Simionem Výtažníkem do rumunské prózy posledních desetiletí, silně poznamenané postmodernistickým pokusnictvím, výrazně svěží tón. Přechodné období po „velkém třesku“ v prosinci 1989 je v románu vnímáno jako jeden obrovský očistec, v kterém se mísí vznešené s nízkým, směšné s tragickým, nevinnost s vinou. S autorem pronikáme do uzavřeného světa jednoho panelového domu v moldavském městě Bacău, jehož obyvatelé tvoří hutný vzorek rumunské společnosti po pádu ceauşescovské diktatury. Na klopotné cestě k demokracii s sebou při hledání vlastní identity vláčejí těžké břemeno verbálních klišé a vyprázdněných rituálů, osvojených v minulosti. Neutuchající pochyby a společenskou nejistotu se snaží rozptýlit jeden z obyvatel domu, stařík Simion, který se na dva týdny jako někdejší poustevníci do pouště uchýlí do domovního výtahu a odtamtud začne volat po nápravě mravů…
Eve Ensler	Vagina Monology	Vagina Monology	2007	2002	80-7205-900-9.jpg	gender	Vagina Monology, tato dojemná a rozpustilá exkurze do poslední neprobádané oblasti, do poslední zakázané zóny je oslavou ženské sexuality ve vší své složitosti a tajemnosti. Byla uvítána jako bible pro novou generaci žen. Tato kniha a stejnojmenná divadelní hra, inspirovaly dynamické hnutí - Den-V - jehož cílem je skoncovat s násilím proti ženám. Toto vtipné a neuctivé, soucitné a moudré dílo, oceněné cenou Obie, vyjadřuje ty nejhlubší ženské fantazie a obavy a zaručuje, že se po jejím přečtení nikdo nebude dívat na ženské tělo ani na sex stejně jako předtím.
Stephen LaBerge	Lucidní snění	Lucid Dreaming	2007	2004	80-86685-63-2.jpg	duchovní, sny	Kniha předního světového vědce zabývající se bdělým (lucidním) sněním shrnuje deset let výzkumů v Centru pro výzkum spánku na Stanfordově univerzitě. LaBerge zde dokazuje, že vědomé a svobodné jednání ve snu je skutečně možné.
Rabíndranáth Thákur	Světlušky	Fireflies	2007	1928	80-88913-17-9.jpg	poezie	Sbírka obsahuje poeticky vyjádřené myšlenky. Vznikaly v Číně a Japonsku. Jsou to verše plné meditativních nálad, filosofických zamyšlení, úvah o životě, lásce, přírodě.
Ilya Prigogine	Řád z chaosu	Order out of Chaos: Man's New Dialogue with Nature	2007	1984	80-204-0910-6.jpg	věda	Kniha je širokým panoramatickým pohledem na změny v základech soudobé vědy, na proměny vztahu člověka a přírody. Prosazuje názor, že je třeba nastolit jednotu přírodních a společenských věd, překonat „dvojí kulturu“, tj. přírodovědnou a humanitní. Procesuálnost a dynamičnost světa, problém vznikání nového, otázka času a jeho fyzikálního určení, to vše zkoumáno na podkladu nikoli spekulativním, ale solidně vybudovaném na poznatcích přírodních věd, dává naději, že Prigoginova kniha by mohla působit v českém, byť opožděném překladu stejně podnětně jako v době svého vzniku, kdy se stala světovým bestsellerem.
Petr Vopěnka	Meditace o základech vědy	Meditace o základech vědy	2007	2001	80-7252-044-X.jpg	filozofie, věda	Devět autorových meditací vzniklo jako parafráze na stejnojmenné Descartesovo dílo, jenž položilo základy moderní vědy. Vopěnka staví poslání vědy jako pomocníka při orientaci ve spleti jevů okolního světa a nikoli jako bezobsažné hledání nepochybné pravdy.
Keith Devlin	Jazyk matematiky	The Language of Mathematics	2007	1976	80-86569-09-8.jpg	věda	Kniha podává přehledný obraz současné matematiky a historického vývoje jejích nejzajímavějších oblastí, zároveň vyzdvihuje její základní rysy, jimiž je jednoduchost, čistota, přesnost a elegance, zdařile však předkládá i její mnohdy opomíjenou stránku – estetickou působivost intelektuální, vizuální i akustickou.
E.L. Doctorow	Ragtime	Ragtime	2007	1975	80-86938-10-7.jpg	beletrie	Ragtime – dravý a energický klavírní styl, který způsobil ve vývoji hudby revoluci. Ve svém nejpopulárnějším románu si jej Doctorow zvolil za symbol bouřlivého vývoje Spojených států v prvních dvou desetiletích dvacátého století. Na půdorysu příběhu tří typických amerických rodin podává autor mnohovrstevnaté, hojně zalidněné panorama, v němž se odráží doba ekonomického rozmachu, velkého pohybu obyvatelstva a střetávání ras, kultur a tradic. Svůj „retro“ příběh oživuje legendárními postavami světa byznysu, kultury, vědy a politiky (Henry Ford, J. P. Morgan, Harry Houdini, Sigmund Freud, Emiliano Zapata) a v dramatické zkratce sleduje kořeny rozporů současné Ameriky. Přitažlivé látky se chopil roku 1981 Miloš Forman a natočil podle Ragtimu stejnojmenný film.
Ludwig Wittgenstein	Modrá a hnědá kniha	Das Blaue Buch. Eine Philosophische Betrachtung (Das Braune Buch)	2007	1958	80-7007-237-7.jpg	filozofie	Soubor Modrá a Hnědá kniha otevírá všechna velká témata pozdního Wittgensteina: vztah užití a významu, problém rozumění a zvládnutí určité techniky, otázku pravidel, jazykových her a „forem života“, zpochybnění možnosti soukromého jazyka. Tzv. Modrá kniha je záznamem Wittgensteinových přednášek v Cambridge z let 1933–34. V letech 1934–5 Wittgenstein nadiktoval i tzv. Hnědou knihu, určenou zprvu pouze pro několik přátel a žáků. Texty původně nebyly určeny k publikování, postupně se však šířily mezi jeho žáky. Hnědou knihu se Wittgenstein pokusil připravit k vydání, nakonec ale práci ukončil a začal se věnovat Filosofickým zkoumáním.
Victor Sanchez	Toltécká cesta rekapitulace	The Toltec Path of Recapitulation: Healing Your Past to Free Your Soul	2007	2001	80-7349-001-3.jpg	duchovní, šamanismus	Co kdybychom se mohli vrátit k traumatickým nebo nepříjemným událostem z minulosti a vrátit se osvěženi, nabiti novou energií a zbaveni zraňujících stop, které v nás tyto zážitky minulosti zanechaly? Praktiky rekapitulace to mohou zajistit. Pomocí řady cvičení a techniky o deseti krocích nás nakonec osvobodí od opakovaných emocionálních konfliktů a přetrvávajících negativních vzorců, které jsou častým důsledkem traumat prožitých v minulosti. Rekapitulace neboli šamanská obměna terapií založených na psychoanalýze umožňuje skutečně znovu prožívat a lépe řešit stresující události vyplývající například z narušených vztahů, pohlavního zneužívání nebo dětství stráveného v rozvráceném rodinném prostředí a léčit jimi způsobená emocionální traumata. V této snadno srozumitelné příručce autor zve čtenáře k vyzkoušení mocné a pozitivní nové energie uvolněné vyléčením ran minulosti a krok za krokem je na této cestě vede.
Arnold Mindell	Techniky snění v bdělém stavu	Dreaming while awake	2007	2000	80-7336-358-5.jpg	duchovní, sny	Kniha má jediný cíl: naučit vás vnímat a žít Sen, obrátit vás k síle Snění. Vypravíme se na cestu společně. Budeme zkoumat území, kde šamanismus kříží hranice fyziky, kde se sny mění ve skutečnost těla a kde se každodenní život stekává s nesmrtelností.
Vincenc Lesný	Buddhismus	Buddhismus	2007	1948	80-7198-062-5.jpg	religionistika, buddhismus	Prof. Vincenc Lesný podává ve svém stěžejním díle přehled buddhismu v celém jeho víc než dvoutisíciletém vývoji, využívá všech dobově dostupných pramenů, porovnává buddhismus s křesťanstvím a sleduje i jeho význam v zemích, které výrazně ovlivnil. Vedle vědeckých poznatků neopomíjí autor humanistické dimenze buddhismu a jeho možný přínos evropské kultuře.
Aaron Temkin Beck	Kognitivní terapie a emoční poruchy	Cognitive Therapy and the Emotional Disorders	2007	1975	80-7367-032-1.jpg	psychoterapie	Nejrůznější terapeutické školy se shodují v tom, že člověk trpící např. depresemi, fobiemi, obsesemi a jinými poruchami, je obětí sil, nad kterými nemá vládu. Renomovaný autor na poli kognitivní terapie nabízí perspektivu, ve které emoční problémy člověka souvisejí do značné míry s pokřivením reality, založeným na chybných předpokladech a závěrech. V průběhu kognitivní terapie pomáhá terapeut pacientovi objasnit tato pokřivení a naučit se alternativní, realističtější způsoby, jak formulovat vlastní zkušenosti. Ve své knize se A. T. Beck konkrétněji zabývá nejčastějšími typy emočních poruch a jejich kognitivním obsahem a následně předkládá principy a techniky kognitivní terapie.
Clarissa Pinkola Estés	Ženy, které běhaly s vlky	Women Who Run With the Wolves	2007	1992	80-7205-648-4.jpg	mytologie, duchovní, gender	V každé ženě žije mocná síla, naplněná zdravými instinkty, vášnivou tvořivostí a nesmrtelným poznáním. Je to archetyp Divošky, který představuje instinktivní povahu žen. Divoška je ale ohroženým druhem, neboť i když dary nespoutané přírody nám od narození patří, snaha společnosti zcivilizovat nás do strnulých rolí utlumila to hluboké a životodárné poselství našich vlastních duší. V knize Ženy, které běhaly s vlky se zabývá dr. Estés mýty, pohádkami a příběhy, z nichž mnohé pocházejí z její vlastní rodiny, s cílem pomoci ženám spojit se znovu s těmito divokými, zdravými a vizionářskými vlastnostmi této instinktivní povahy. V příbězích a komentářích v této pozoruhodné knize nalézáme, zkoumáme, milujeme a pochopíme Divošku a pojmeme ji do své hluboké duše jako něco kouzelného a léčivého. Je to obohacující a životodárná psychologie žen v tom nejopravdovějším smyslu, je to poznání duše. Tato kniha nám připomíná, že jsme stále nespoutanými a že obnovení této vitality nás samo o sobě postaví přímo do světa. Práce ukazuje čtenáři, jak úžasné je být odvážnou, starostlivou a jak je úžasné být ženou. Ten, kdo umí číst, by si měl tuto knihu přečíst.
Ján Praško	Poruchy osobnosti	Poruchy osobnosti	2007	2003	80-7178-737-X.jpg	psychologie	První monografie o poruchách osobnosti u nás se zabývá skupinou psychických poruch, dříve též označovanou jako psychopatie, které jsou velmi závažné, ale o kterých se dosud málo vědělo zejména z hlediska možností terapie.Práce uvádí přehled ustavených skupin poruch osobnosti (paranoidní, schizoidní, disociální, emočně nestabilní, histriónská, anxiozní - vyhýbavá, závislá, narcistická) i některé skupiny, které jsou výzkumem teprve navrhovány. Zabývá se vývojem poruch osobnosti od dětství a v průběhu dospělosti a možnostmi léčby. Protože problematika poruch osobnosti (psychopatií) má závažné sociální souvislosti, práce osloví nejen psychiatry, psychoterapeuty a klinické psychology, ale i sociální pracovníky, kriminology, etopedy a výchovné poradce a také studenty příslušných oborů. Práce je doplněna řadou kazuistik.
Jürg Willi	Psychologie lásky	Psychologie der Liebe	2007	2002	80-7178-982-8.jpg	psychoterapie	Osobní rozvoj cestou partnerského vztahu. Nic nestimuluje osobnostní rozvoj člověka silněji jako konstruktivní vztah lásky k druhému člověku. Stejně tak nic neochromuje osobnostní rozvoj tak, jako destruktivní vztah. Jürg Willi se z tohoto pohledu zabývá partnerským vztahem, popisuje jeho jednotlivé aspekty z možné vývojové perspektivy, ukazuje různá úskalí vztahu a možnosti terapeutické vztahové práce.
Stanislav Groff	Psychologie budoucnosti	Psychology Of The Future: Lessons From Modern Consciousness Research	2007	2000	80-902156-6-1.jpg	psychologie, psychedelie	Tento čtenářsky přístupný a ucelený přehled díla Stanislava Grofa, jednoho ze zakladatelů transpersonální psychologie, byl sestaven se záměrem, aby se s jeho prací mohla seznámit i širší veřejnost. Tato zcela nová kniha nejenže sumarizuje jeho profesní dráhu a předchozí díla, ale také potvrzuje Grofův neocenitelný přínos pro moderní psychiatrii a psychologii, zejména jeho ústřední pojetí holotropního zážitku, v němž slovo holotropní znamená „směřující k celistvosti“. Grof neustále poukazuje, že stávající základní předpoklady a hypotézy současné psychologie a psychiatrie si žádají radikální revizi, která se zakládá na intenzivním a systematickém zkoumání holotropních zážitků. Předkládá názor, že radikální vnitřní transformace lidstva a jeho pozvednutí na vyšší úroveň vědomí může být naší jedinou šancí do budoucna.
Haruki Murakami	Afterdark	Afutádáku	2007	2004	978-80-207-1575-3.jpg	beletrie	Příběh ze současného Tokia se odehrává po setmění, během jediné noci. Kapitoly jsou napsány stylem filmového scénáře a u každé z nich je uveden přesný časový údaj. Dějová linie je pro autora typická, střídají se tu dva paralelní, navzájem se prolínající příběhy. Devatenáctiletá Mari, která umí čínsky, je kontaktována manažerkou hodinového hotelu, aby jí pomohla vyřešit případ brutálně zbité čínské prostitutky. A její sestra se vlivem tajemných sil ocitla v jakémsi nejasném a nebezpečném snu, v ohraničeném anonymním prostoru. V průběhu noci, ještě než přichází ráno, se věci dávají do pohybu.
